GEOID,STATE,COUNTY,NAME,median_household_income,median_family_income,median_nonfamily_income,poverty_rate_pct,unemployment_rate_pct,renters_cb_lt35_cnt,renters_cb_ge35_cnt,owners_cb_lt35_cnt,owners_cb_ge35_cnt,crowded_hh_pct,renter_hh_cnt,owner_hh_cnt
2066,2,66,Copper River,64745.0,87981.0,33333.0,9.32,5.64,59,6,59,61,4.33,29,15
2068,2,68,Denali,76364.0,116648.0,43750.0,14.13,3.66,17,6,71,32,3.44,5,2
2070,2,70,Dillingham,57436.0,59250.0,36705.0,17.65,11.6,94,46,109,85,24.9,82,107
2090,2,90,Fairbanks North Star,76464.0,89208.0,54353.0,6.55,7.12,3113,2984,1670,2802,5.41,543,349
2100,2,100,Haines,65014.0,84191.0,45000.0,12.64,9.03,37,9,67,89,11.12,21,45
1001,1,1,Autauga,57982.0,70730.0,30041.0,15.21,2.91,1411,443,2479,883,1.57,889,1029
1003,1,3,Baldwin,61756.0,79907.0,32861.0,9.17,3.92,5612,2102,7735,5243,1.52,1260,2268
1005,1,5,Barbour,34990.0,45836.0,18073.0,28.6,6.94,1354,35,766,171,3.75,1062,384
1021,1,21,Chilton,52141.0,59046.0,26836.0,17.01,6.1,1243,118,1551,297,2.65,600,1002
1023,1,23,Choctaw,36634.0,54429.0,24121.0,19.71,6.47,289,0,487,54,0.98,222,412
1025,1,25,Clarke,37345.0,52955.0,21366.0,25.04,11.63,778,53,1059,152,1.9,294,799
1027,1,27,Clay,42678.0,53185.0,19442.0,15.52,5.36,309,0,409,168,1.14,216,246
1029,1,29,Cleburne,46320.0,62025.0,19781.0,15.57,3.29,344,15,563,160,1.37,200,126
1031,1,31,Coffee,56799.0,67245.0,34436.0,15.45,5.5,1817,234,1242,798,2.23,1086,503
1033,1,33,Colbert,47962.0,60619.0,24824.0,15.52,3.99,2300,97,2098,618,0.48,986,675
1007,1,7,Bibb,51721.0,62212.0,22629.0,18.1,7.44,795,0,684,101,1.25,548,351
1009,1,9,Blount,48922.0,62576.0,23349.0,13.74,5.2,1654,87,1819,597,1.82,588,935
1011,1,11,Bullock,33866.0,53976.0,15554.0,29.5,3.35,390,0,285,20,0.96,317,205
1013,1,13,Butler,44850.0,57011.0,24142.0,19.56,6.47,644,0,654,104,1.08,428,214
1015,1,15,Calhoun,50128.0,59609.0,27220.0,15.78,7.29,4320,404,3605,1355,1.23,1747,1363
1017,1,17,Chambers,43875.0,52477.0,23675.0,15.4,3.59,1251,63,1378,247,7.17,504,461
1019,1,19,Cherokee,42509.0,58095.0,25488.0,12.94,4.13,611,8,1087,308,1.39,288,571
2170,2,170,Matanuska-Susitna,76118.0,91597.0,39028.0,10.29,9.87,2474,1043,2554,3492,5.19,795,891
2180,2,180,Nome,62843.0,60680.0,43712.0,22.42,18.07,155,131,266,89,30.68,118,278
2185,2,185,North Slope,79083.0,84342.0,53386.0,9.38,9.8,143,98,106,14,32.6,99,51
2188,2,188,Northwest Arctic,63750.0,62049.0,53929.0,23.19,15.98,89,69,156,23,36.43,112,141
2195,2,195,Petersburg,68667.0,76731.0,33472.0,4.9,4.32,134,26,56,48,1.99,23,8
2198,2,198,Prince of Wales-Hyder,54018.0,66012.0,36204.0,18.41,9.69,171,35,131,68,6.03,126,96
2220,2,220,Sitka,81708.0,93977.0,46702.0,6.57,5.36,370,268,136,246,2.02,55,40
2230,2,230,Skagway,71875.0,87500.0,48583.0,5.78,9.97,10,11,4,37,3.65,4,3
2240,2,240,Southeast Fairbanks,66941.0,84453.0,30573.0,10.1,10.52,123,17,135,30,6.52,46,68
2275,2,275,Wrangell,58438.0,67976.0,35625.0,8.04,5.99,82,12,21,70,1.52,21,2
2282,2,282,Yakutat,59517.0,58571.0,53375.0,6.7,8.26,4,2,5,9,5.88,0,2
2290,2,290,Yukon-Koyukuk,41728.0,53750.0,19825.0,23.66,14.99,67,19,230,20,14.43,70,138
1071,1,71,Jackson,42578.0,54489.0,21744.0,17.88,5.19,1524,34,1993,664,2.46,871,1215
1073,1,73,Jefferson,55088.0,71575.0,32339.0,15.66,6.25,35932,7476,21525,11697,1.4,11904,6382
1075,1,75,Lamar,42688.0,57157.0,17500.0,17.67,5.11,581,48,312,29,1.9,173,191
1077,1,77,Lauderdale,48428.0,67905.0,26216.0,13.03,4.67,4146,206,3168,1320,0.95,1321,824
1079,1,79,Lawrence,47125.0,62734.0,24449.0,16.79,3.76,740,15,1451,276,1.12,473,669
1081,1,81,Lee,52930.0,75091.0,24868.0,19.37,4.68,9191,894,4755,2037,3.57,2214,1729
1035,1,35,Conecuh,35444.0,45253.0,21984.0,16.57,7.86,202,5,415,29,0.44,133,178
1037,1,37,Coosa,43571.0,50476.0,27872.0,12.5,2.55,239,0,420,37,3.01,123,95
1039,1,39,Covington,42566.0,56831.0,23243.0,17.67,7.7,1384,10,1351,309,2.13,771,547
1041,1,41,Crenshaw,42611.0,59896.0,16395.0,14.55,4.05,304,0,533,138,1.06,116,159
1043,1,43,Cullman,48388.0,60790.0,25506.0,12.69,5.01,2657,183,2487,1033,1.94,1099,1046
1045,1,45,Dale,45644.0,56776.0,26615.0,18.38,9.02,2769,350,1321,252,0.88,1455,437
1047,1,47,Dallas,33317.0,47298.0,18816.0,29.22,10.38,2960,66,1234,249,1.23,1377,564
1049,1,49,DeKalb,42267.0,51363.0,21406.0,20.71,4.45,2271,67,2457,693,2.95,1406,1555
1051,1,51,Elmore,62324.0,74234.0,35766.0,10.58,4.07,2917,576,1907,1356,1.31,1286,599
2105,2,105,Hoonah-Angoon,59926.0,72750.0,39375.0,9.42,10.85,45,12,42,22,4.24,20,15
2110,2,110,Juneau,88077.0,106066.0,63801.0,6.95,4.43,1006,653,435,1363,2.85,282,39
2122,2,122,Kenai Peninsula,69245.0,90244.0,40799.0,12.68,8.0,1505,663,1707,1664,5.21,438,582
2130,2,130,Ketchikan Gateway,74678.0,91797.0,42289.0,8.77,5.56,586,352,292,524,4.76,163,40
2150,2,150,Kodiak Island,79173.0,95280.0,56282.0,7.32,6.18,328,355,121,309,9.57,207,17
2158,2,158,Kusilvak,37358.0,36161.0,26429.0,37.86,22.55,61,8,224,4,42.17,186,354
2164,2,164,Lake and Peninsula,48750.0,52969.0,34583.0,15.47,18.25,9,2,30,8,9.56,19,18
2013,2,13,Aleutians East,75833.0,88313.0,51464.0,12.19,3.56,69,5,59,8,3.04,43,32
2016,2,16,Aleutians West,87443.0,92500.0,78833.0,7.6,4.01,22,85,25,97,11.72,16,6
2020,2,20,Anchorage,84813.0,100775.0,57311.0,8.85,5.23,9690,8064,4440,11535,4.49,2789,1127
2050,2,50,Bethel,54400.0,55324.0,38792.0,28.59,17.5,270,213,361,55,32.3,379,482
2060,2,60,Bristol Bay,79808.0,92222.0,55500.0,5.05,3.82,12,3,12,13,5.63,2,2
2063,2,63,Chugach,90776.0,98498.0,47841.0,5.18,2.81,72,148,108,55,4.81,5,62
1053,1,53,Escambia,35558.0,47336.0,21478.0,23.83,10.07,1436,48,1136,141,1.26,778,547
1055,1,55,Etowah,44934.0,59713.0,25728.0,15.97,5.7,3993,139,2994,1343,1.2,1925,1301
1057,1,57,Fayette,41469.0,54654.0,20279.0,20.77,7.95,618,14,789,123,0.69,268,477
1059,1,59,Franklin,41174.0,49564.0,25836.0,19.65,4.84,842,50,874,124,2.9,674,552
1061,1,61,Geneva,41569.0,50579.0,20568.0,21.81,3.65,850,14,1006,179,1.26,663,449
1063,1,63,Greene,26688.0,41372.0,17791.0,36.41,12.66,272,4,504,25,1.95,198,300
1065,1,65,Hale,30793.0,54792.0,16173.0,24.59,9.12,522,6,888,64,3.61,147,434
1067,1,67,Henry,51715.0,62757.0,24456.0,15.24,5.45,476,28,621,154,0.72,241,317
1069,1,69,Houston,49069.0,64557.0,26801.0,17.57,5.6,4996,463,3098,1315,1.41,2216,1080
1103,1,103,Morgan,52923.0,66053.0,29880.0,14.87,4.79,4674,148,3295,1540,2.04,2418,1350
1105,1,105,Perry,23875.0,33438.0,18481.0,36.05,11.45,232,0,571,62,0.0,55,380
1107,1,107,Pickens,40362.0,53247.0,20271.0,24.74,8.47,684,8,949,144,0.98,559,423
1123,1,123,Tallapoosa,48160.0,56521.0,22371.0,16.48,10.96,1411,79,1690,420,3.02,973,506
1125,1,125,Tuscaloosa,54283.0,71640.0,30621.0,17.21,5.95,11498,1227,5105,3676,1.52,3588,1759
1127,1,127,Walker,45833.0,59531.0,21617.0,16.94,7.33,1786,33,2199,847,1.98,980,1069
1129,1,129,Washington,42331.0,56117.0,16430.0,14.84,6.75,147,0,612,184,1.9,143,470
1131,1,131,Wilcox,35063.0,45582.0,19301.0,27.62,12.98,256,16,503,19,1.09,313,247
1133,1,133,Winston,40991.0,53636.0,20699.0,17.42,5.43,520,8,1088,221,1.28,392,402
5001,5,1,Arkansas,51000.0,61807.0,20103.0,15.97,4.76,832,24,571,75,2.29,379,157
1109,1,109,Pike,39218.0,62171.0,20633.0,22.96,4.88,2143,73,1083,386,0.74,338,327
1111,1,111,Randolph,45141.0,54013.0,21759.0,18.78,4.09,522,13,666,192,2.51,457,485
1113,1,113,Russell,42208.0,54213.0,25004.0,21.84,5.59,4245,430,2381,1199,1.56,1589,861
