GEOID,STATE,COUNTY,NAME,total_households,cost_burdened_households_leq_30_percent,cost_burdened_households_30_to_50_percent,cost_burdened_households_50_to_80_percent,cost_burdened_households_all_income_levels_count,Percent_of_low_income_cb_over30_percent,Percent_of_low_income_cb_over50_percent,Percent_of_medi_income_cb_over30_percent,Percent_of_medi_income_cb_over50_percent,Percent_of_high_income_cb_over30_percent,Percent_of_high_income_cb_over50_percent,Percent_of_all_with_cb_over30_percent,Percent_of_all_with_cb_over50_percent,Percent_renter_small_family_count_cb_over30,Percent_renter_large_family_count_cb_over50,Percent_owner_small_family_count_cb_over30,Percent_owner_large_family_count_cb_over50
1043,1,43,Cullman,31735,1630,1605,1810,640,65.91,46.39,55.76,30.98,40.55,18.37,19.11,7.81,1120,110,1040,104
1045,1,45,Dale,19405,1605,1760,1530,700,63.0,48.2,59.96,35.45,49.5,24.9,23.27,10.93,1410,330,335,34
1047,1,47,Dallas,15410,2455,1485,930,790,59.38,49.22,56.42,32.3,47.41,23.68,28.23,12.75,694,244,520,45
1049,1,49,DeKalb,26365,1810,1660,1570,580,62.91,40.84,49.86,26.6,36.28,16.15,18.81,7.72,815,244,1008,248
1051,1,51,Elmore,29795,1510,1880,1350,855,75.58,62.65,66.35,36.79,54.56,25.25,21.85,9.09,1794,210,1305,95
1053,1,53,Escambia,12930,1615,505,970,315,49.63,39.03,49.64,30.57,38.31,19.6,20.84,10.24,494,123,203,89
1001,1,1,Autauga,21560,1150,865,690,740,69.92,59.83,59.1,42.6,50.73,30.93,23.12,13.1,645,280,960,279
1003,1,3,Baldwin,84045,3835,3180,4705,2090,72.67,56.36,58.48,39.66,46.73,24.51,22.89,10.49,2250,300,3720,520
1005,1,5,Barbour,9320,1355,835,570,145,56.06,39.08,51.74,27.39,43.87,21.01,24.14,11.11,610,85,212,48
1007,1,7,Bibb,7260,890,320,250,55,67.72,33.23,53.02,25.34,38.63,17.5,20.44,8.95,325,190,219,0
1009,1,9,Blount,21205,1810,1150,1230,340,57.88,38.68,45.27,21.68,32.74,14.03,18.58,7.83,704,103,515,149
1011,1,11,Bullock,3430,425,290,100,55,29.45,21.47,43.19,22.18,36.68,16.85,20.26,9.04,255,15,65,0
1013,1,13,Butler,6650,565,350,205,195,64.44,50.56,57.89,33.24,45.83,22.38,19.98,9.62,400,0,168,4
1015,1,15,Calhoun,44570,3410,2205,2445,1325,66.78,48.14,53.07,31.63,43.08,20.57,20.94,9.03,1775,270,1355,225
1017,1,17,Chambers,13580,695,715,965,495,66.79,50.38,61.85,33.59,44.05,19.11,21.28,8.58,480,50,615,60
1019,1,19,Cherokee,10835,480,500,485,345,51.4,37.85,47.13,20.2,35.63,13.08,17.67,5.95,195,54,434,12
1021,1,21,Chilton,17140,795,725,1165,360,64.17,46.94,58.74,37.53,41.52,24.5,18.03,9.63,500,94,705,52
1023,1,23,Choctaw,5330,325,130,195,125,44.51,30.49,41.04,18.89,30.44,12.9,15.29,6.0,105,8,194,4
1025,1,25,Clarke,9325,830,405,525,200,50.68,40.82,48.09,31.42,40.31,20.26,21.18,9.97,214,55,309,115
1027,1,27,Clay,5155,400,150,395,100,64.97,31.21,48.26,20.08,30.75,11.41,16.29,5.92,69,0,118,4
1029,1,29,Cleburne,5835,390,225,305,140,50.64,30.77,43.64,22.34,35.14,14.26,17.46,6.15,145,44,108,30
1031,1,31,Coffee,19950,1710,835,1510,580,67.03,52.54,55.42,35.89,40.85,22.5,19.64,9.49,875,189,625,128
1033,1,33,Colbert,21795,1665,1190,1540,585,67.55,43.59,60.55,33.27,46.13,22.24,21.88,9.63,910,85,519,78
