GEOID,STATE,COUNTY,NAME,total_households,cost_burdened_households_leq_30_percent,cost_burdened_households_30_to_50_percent,cost_burdened_households_50_to_80_percent,cost_burdened_households_all_income_levels_count,Percent_of_low_income_cb_over30_percent,Percent_of_low_income_cb_over50_percent,Percent_of_medi_income_cb_over30_percent,Percent_of_medi_income_cb_over50_percent,Percent_of_high_income_cb_over30_percent,Percent_of_high_income_cb_over50_percent,Percent_of_all_with_cb_over30_percent,Percent_of_all_with_cb_over50_percent,Percent_renter_small_family_count_cb_over30,Percent_renter_large_family_count_cb_over50,Percent_owner_small_family_count_cb_over30,Percent_owner_large_family_count_cb_over50,median_household_income,median_family_income,median_nonfamily_income,poverty_rate_pct,unemployment_rate_pct,renters_cb_lt35_cnt,renters_cb_ge35_cnt,owners_cb_lt35_cnt,owners_cb_ge35_cnt,crowded_hh_pct,renter_hh_cnt,owner_hh_cnt
1043,1,43,Cullman,31735,1630,1605,1810,640,65.91,46.39,55.76,30.98,40.55,18.37,19.11,7.81,1120,110,1040,104,48388.0,60790.0,25506.0,12.69,5.01,2657,183,2487,1033,1.94,1099,1046
1045,1,45,Dale,19405,1605,1760,1530,700,63.0,48.2,59.96,35.45,49.5,24.9,23.27,10.93,1410,330,335,34,45644.0,56776.0,26615.0,18.38,9.02,2769,350,1321,252,0.88,1455,437
1047,1,47,Dallas,15410,2455,1485,930,790,59.38,49.22,56.42,32.3,47.41,23.68,28.23,12.75,694,244,520,45,33317.0,47298.0,18816.0,29.22,10.38,2960,66,1234,249,1.23,1377,564
1049,1,49,DeKalb,26365,1810,1660,1570,580,62.91,40.84,49.86,26.6,36.28,16.15,18.81,7.72,815,244,1008,248,42267.0,51363.0,21406.0,20.71,4.45,2271,67,2457,693,2.95,1406,1555
1051,1,51,Elmore,29795,1510,1880,1350,855,75.58,62.65,66.35,36.79,54.56,25.25,21.85,9.09,1794,210,1305,95,62324.0,74234.0,35766.0,10.58,4.07,2917,576,1907,1356,1.31,1286,599
1053,1,53,Escambia,12930,1615,505,970,315,49.63,39.03,49.64,30.57,38.31,19.6,20.84,10.24,494,123,203,89,35558.0,47336.0,21478.0,23.83,10.07,1436,48,1136,141,1.26,778,547
1001,1,1,Autauga,21560,1150,865,690,740,69.92,59.83,59.1,42.6,50.73,30.93,23.12,13.1,645,280,960,279,57982.0,70730.0,30041.0,15.21,2.91,1411,443,2479,883,1.57,889,1029
1003,1,3,Baldwin,84045,3835,3180,4705,2090,72.67,56.36,58.48,39.66,46.73,24.51,22.89,10.49,2250,300,3720,520,61756.0,79907.0,32861.0,9.17,3.92,5612,2102,7735,5243,1.52,1260,2268
1005,1,5,Barbour,9320,1355,835,570,145,56.06,39.08,51.74,27.39,43.87,21.01,24.14,11.11,610,85,212,48,34990.0,45836.0,18073.0,28.6,6.94,1354,35,766,171,3.75,1062,384
1007,1,7,Bibb,7260,890,320,250,55,67.72,33.23,53.02,25.34,38.63,17.5,20.44,8.95,325,190,219,0,51721.0,62212.0,22629.0,18.1,7.44,795,0,684,101,1.25,548,351
